# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
CBLO1     | 41.981   | -80.556   | LAKE_STATION   | 12.0              | 9.1             | 189.6            | NaN
CBRW3     | 45.198   | -87.36    | LAKE_STATION   | 10.0              | 3.3             | 181.3            | NaN
CDEA2     | 56.001   | -134.136  | COAST_STATION  | 10.0              | 1.5             | 16.5             | NaN
CDRF1     | 29.136   | -83.029   | COAST_STATION  | 10.0              | 9.1             | 3.0              | NaN
CDXA2     | 56.001   | -134.136  | COAST_STATION  | 9.1               | 9.1             | 24.4             | NaN
CECC1     | 41.746   | -124.184  | COAST_STATION  | 8.6               | 7.9             | 4.8              | 1.3
CFWM1     | 44.657   | -67.205   | COAST_STATION  | 8.5               | 7.9             | 5.3              | 0.2
CHAO3     | 43.351   | -124.337  | COAST_STATION  | 8.4               | 3.0             | 4.5              | 2.0
CHAV3     | 18.335   | -64.92    | COAST_STATION  | 6.5               | 2.6             | 2.3              | 0.9
CHBV2     | 37.032   | -76.083   | OCEAN_STATION  | 4.6               | 3.1             | NaN              | 3.3
CHDS1     | 33.661   | -82.199   | LAKE_STATION   | 2.1               | 0.6             | 116.4            | NaN
CHII2     | 41.916   | -87.572   | LAKE_STATION   | 25.9              | 22.9            | NaN              | NaN
CHLV2     | 36.905   | -75.713   | OCEAN_STATION  | 43.3              | 22.3            | 23.4             | NaN
CHSV3     | 17.748   | -64.699   | COAST_STATION  | 7.1               | 2.8             | 3.0              | 1.2
CHYV2     | 36.926   | -76.007   | COAST_STATION  | 27.9              | NaN             | NaN              | NaN
CHYW1     | 48.863   | -122.759  | COAST_STATION  | 7.0               | 3.7             | 8.2              | 3.1
CLBF1     | 27.736   | -82.686   | COAST_STATION  | 11.0              | 10.3            | 10.2             | 1.0
CLKN7     | 34.622   | -76.525   | COAST_STATION  | 9.8               | 6.4             | 11.0             | NaN
CLSM4     | 42.471   | -82.877   | LAKE_STATION   | 10.0              | 3.3             | 176.8            | NaN
CMTI2     | 41.73    | -87.538   | LAKE_STATION   | 10.3              | 5.7             | 179.8            | NaN
CNDO1     | 41.542   | -81.637   | LAKE_STATION   | 7.8               | 3.9             | 177.7            | 4.2
CNII2     | 41.856   | -87.609   | LAKE_STATION   | 10.0              | 1.8             | NaN              | NaN
CPMW1     | 48.86    | -122.756  | COAST_STATION  | 7.0               | 3.3             | NaN              | NaN
CPXC1     | 35.17    | -120.741  | COAST_STATION  | 4.0               | 4.0             | 4.0              | NaN
CRTA1     | 30.308   | -88.14    | COAST_STATION  | 12.23             | 6.45            | 4.01             | 2.3
CRVA2     | 60.558   | -145.752  | COAST_STATION  | 8.4               | 7.8             | 6.6              | 3.0
CRYV2     | 36.888   | -76.338   | COAST_STATION  | 8.6               | 2.8             | 3.0              | NaN
CSPA2     | 58.199   | -136.64   | COAST_STATION  | 10.0              | 1.5             | 26.5             | NaN
CWBF1     | 27.978   | -82.832   | COAST_STATION  | 6.7               | 3.2             | 4.7              | 3.7
DBLN6     | 42.494   | -79.354   | LAKE_STATION   | 20.4              | 12.8            | 196.9            | NaN
DESW1     | 47.675   | -124.485  | COAST_STATION  | 31.4              | 31.4            | 39.0             | NaN
